n_days,N,pct,visitor_type
1,4696,38.1,First-time
2,1174,9.5,Occasional
3,855,6.9,Occasional
4,1074,8.7,Occasional
5,1508,12.2,Regular
6,1156,9.4,Regular
7,1867,15.1,Regular
