n_days,n,freq_group
1,13354,One-time
2,1764,Occasional
3,838,Occasional
4,563,Occasional
5,437,Occasional
6,342,Occasional
7,308,Occasional
8,252,Occasional
9,248,Occasional
10,247,Occasional
11,234,Occasional
12,227,Occasional
13,233,Occasional
14,275,Occasional
15,290,Occasional
16,330,Occasional
17,360,Occasional
18,398,Occasional
19,462,Occasional
20,497,Regular
21,448,Regular
22,383,Regular
23,446,Regular
24,508,Regular
25,478,Regular
26,645,Regular
