"timestamp_utc","source_address","sensor_name","x","y","strength_sum","detections"
"2024-01-15T00:00:00Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A01",0,0,679,20
"2024-01-15T00:00:20Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A01",0,0,736,20
"2024-01-15T00:00:40Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A01",0,0,760,20
"2024-01-15T00:01:00Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A01",0,0,760,20
"2024-01-15T00:01:20Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A02",75,0,679,20
"2024-01-15T00:01:40Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A02",75,0,736,20
"2024-01-15T00:02:00Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A02",75,0,760,20
"2024-01-15T00:02:20Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A02",75,0,760,20
"2024-01-15T00:10:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:10:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:10:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:11:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:11:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:11:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:12:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:12:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:12:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:13:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:13:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:13:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:14:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:14:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:14:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:15:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:15:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:15:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:16:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:16:20Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:16:40Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-15T00:17:00Z","323545d4c59047e37c6d4955d7be420e","A02",75,0,47,1
"2024-01-16T00:00:00Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A01",0,0,740,20
"2024-01-16T00:00:20Z","20bb0f1ddb10c9b71fa916d5a7d078c6","A02",75,0,740,20
