"timestamp_utc","sensor_name","n_retained_identifiers"
"2024-01-15T00:00:00Z","A01",1
"2024-01-15T00:00:20Z","A01",1
"2024-01-15T00:00:40Z","A01",1
"2024-01-15T00:01:00Z","A01",1
"2024-01-15T00:01:20Z","A02",1
"2024-01-15T00:01:40Z","A02",1
"2024-01-15T00:02:00Z","A02",1
"2024-01-15T00:02:20Z","A02",1
"2024-01-15T00:10:00Z","A02",1
"2024-01-15T00:10:20Z","A02",1
"2024-01-15T00:10:40Z","A02",1
"2024-01-15T00:11:00Z","A02",1
"2024-01-15T00:11:20Z","A02",1
"2024-01-15T00:11:40Z","A02",1
"2024-01-15T00:12:00Z","A02",1
"2024-01-15T00:12:20Z","A02",1
"2024-01-15T00:12:40Z","A02",1
"2024-01-15T00:13:00Z","A02",1
"2024-01-15T00:13:20Z","A02",1
"2024-01-15T00:13:40Z","A02",1
"2024-01-15T00:14:00Z","A02",1
"2024-01-15T00:14:20Z","A02",1
"2024-01-15T00:14:40Z","A02",1
"2024-01-15T00:15:00Z","A02",1
"2024-01-15T00:15:20Z","A02",1
"2024-01-15T00:15:40Z","A02",1
"2024-01-15T00:16:00Z","A02",1
"2024-01-15T00:16:20Z","A02",1
"2024-01-15T00:16:40Z","A02",1
"2024-01-15T00:17:00Z","A02",1
"2024-01-16T00:00:00Z","A01",1
"2024-01-16T00:00:20Z","A02",1
